11.425,11.447,11.51,11.613,11.75,11.917,12.105,12.307,12.517,12.726,12.928,13.119,13.293,13.447,13.58,13.689,13.776,13.84,13.883,13.907,13.915,13.907,13.889,13.862,13.829,13.794,13.759,13.729,13.705,13.691,13.688,13.699,13.724,13.764,13.818,13.884,13.96,14.043,14.129,14.213,14.292,14.36,14.413,14.448,14.462,14.452,14.419,14.363,14.286,14.191,14.082,13.965,13.844,13.727,13.617,13.521,13.442,13.385,13.35,13.34,13.353,13.388,13.443,13.513,13.596,13.687
11.447,11.468,11.531,11.633,11.769,11.934,12.12,12.321,12.528,12.735,12.934,13.122,13.292,13.443,13.571,13.675,13.756,13.813,13.849,13.865,13.863,13.846,13.817,13.779,13.735,13.689,13.645,13.606,13.575,13.556,13.551,13.563,13.591,13.637,13.7,13.778,13.868,13.967,14.069,14.17,14.265,14.348,14.414,14.459,14.481,14.476,14.445,14.388,14.307,14.208,14.093,13.969,13.842,13.719,13.606,13.507,13.427,13.37,13.338,13.331,13.349,13.389,13.448,13.524,13.611,13.705
11.511,11.531,11.593,11.692,11.825,11.986,12.168,12.363,12.565,12.766,12.96,13.141,13.305,13.448,13.569,13.666,13.739,13.788,13.814,13.819,13.806,13.777,13.736,13.685,13.629,13.571,13.516,13.467,13.428,13.404,13.396,13.407,13.439,13.492,13.565,13.656,13.761,13.876,13.996,14.115,14.227,14.326,14.407,14.464,14.494,14.496,14.467,14.41,14.327,14.223,14.103,13.974,13.842,13.714,13.597,13.496,13.417,13.362,13.333,13.33,13.352,13.397,13.462,13.542,13.633,13.73
11.614,11.634,11.693,11.788,11.916,12.071,12.245,12.432,12.626,12.818,13.003,13.175,13.329,13.464,13.575,13.662,13.724,13.762,13.777,13.771,13.745,13.702,13.647,13.582,13.512,13.44,13.372,13.312,13.264,13.233,13.222,13.234,13.269,13.329,13.412,13.516,13.636,13.77,13.909,14.047,14.178,14.295,14.391,14.462,14.502,14.51,14.485,14.429,14.344,14.237,14.112,13.978,13.841,13.71,13.59,13.489,13.41,13.357,13.332,13.334,13.362,13.412,13.482,13.566,13.66,13.759
11.752,11.77,11.826,11.917,12.038,12.184,12.349,12.526,12.708,12.888,13.061,13.222,13.365,13.487,13.587,13.662,13.712,13.737,13.739,13.719,13.678,13.621,13.55,13.469,13.383,13.297,13.215,13.143,13.085,13.047,13.031,13.042,13.081,13.148,13.241,13.359,13.497,13.648,13.808,13.967,14.118,14.254,14.366,14.451,14.502,14.517,14.497,14.442,14.357,14.247,14.118,13.98,13.839,13.705,13.583,13.482,13.405,13.355,13.334,13.341,13.375,13.43,13.505,13.593,13.689,13.789
11.919,11.936,11.988,12.073,12.185,12.321,12.474,12.639,12.807,12.974,13.133,13.279,13.409,13.517,13.603,13.665,13.701,13.712,13.699,13.663,13.607,13.533,13.446,13.348,13.245,13.142,13.046,12.96,12.892,12.846,12.826,12.836,12.877,12.951,13.056,13.188,13.343,13.514,13.694,13.875,14.047,14.202,14.332,14.432,14.495,14.519,14.504,14.451,14.366,14.254,14.122,13.98,13.836,13.699,13.576,13.475,13.4,13.354,13.337,13.35,13.388,13.449,13.528,13.619,13.718,13.819
12.108,12.124,12.172,12.249,12.352,12.477,12.617,12.767,12.92,13.071,13.215,13.345,13.459,13.553,13.623,13.67,13.691,13.686,13.658,13.605,13.532,13.441,13.335,13.219,13.099,12.979,12.867,12.767,12.687,12.633,12.608,12.616,12.661,12.742,12.857,13.004,13.177,13.368,13.57,13.773,13.967,14.142,14.291,14.406,14.482,14.516,14.507,14.457,14.372,14.258,14.124,13.978,13.831,13.692,13.569,13.468,13.395,13.352,13.339,13.357,13.4,13.466,13.548,13.642,13.743,13.844
12.313,12.327,12.37,12.44,12.533,12.645,12.771,12.905,13.042,13.177,13.303,13.417,13.514,13.591,13.645,13.675,13.68,13.66,13.614,13.545,13.454,13.344,13.22,13.085,12.946,12.809,12.68,12.566,12.474,12.411,12.381,12.388,12.436,12.524,12.65,12.812,13.003,13.215,13.439,13.664,13.88,14.078,14.246,14.377,14.467,14.51,14.508,14.462,14.379,14.264,14.127,13.978,13.828,13.687,13.562,13.461,13.389,13.349,13.34,13.361,13.409,13.478,13.564,13.661,13.762,13.863
12.525,12.537,12.575,12.637,12.72,12.819,12.93,13.049,13.169,13.286,13.395,13.491,13.57,13.63,13.668,13.681,13.67,13.632,13.569,13.482,13.373,13.244,13.101,12.947,12.79,12.635,12.489,12.361,12.257,12.184,12.149,12.155,12.206,12.301,12.439,12.616,12.825,13.058,13.304,13.553,13.793,14.012,14.2,14.349,14.453,14.507,14.513,14.471,14.389,14.273,14.134,13.983,13.83,13.685,13.558,13.457,13.385,13.346,13.34,13.364,13.414,13.487,13.575,13.672,13.774,13.875
12.738,12.749,12.782,12.836,12.908,12.994,13.091,13.193,13.296,13.395,13.486,13.564,13.627,13.669,13.69,13.687,13.658,13.603,13.523,13.418,13.29,13.143,12.981,12.808,12.632,12.459,12.297,12.154,12.039,11.957,11.917,11.923,11.976,12.079,12.229,12.421,12.649,12.903,13.173,13.445,13.709,13.951,14.16,14.327,14.446,14.513,14.526,14.49,14.409,14.293,14.152,13.997,13.84,13.691,13.562,13.458,13.385,13.346,13.34,13.365,13.417,13.49,13.579,13.677,13.779,13.878
