40.702,40.702,40.702,40.702,40.702,40.702,40.702,40.702,40.702,40.702,40.702,40.702,40.702,40.702,40.702,40.702,40.702,40.702,40.702,40.702,40.702,40.702,40.702,40.702,40.702,40.702,40.702,40.702,40.702,40.702,40.702,40.702,40.702,40.702,40.702,40.702,40.702,40.702,40.702,40.702,40.702,40.702,40.702,40.702,40.702,40.702,40.702,40.702,40.702,40.702,40.702,40.702,40.702,40.702,40.702,40.702,40.702,40.702,40.702,40.702,40.702,40.702,40.702,40.702,40.702,40.702
40.704,40.704,40.704,40.704,40.704,40.704,40.704,40.704,40.704,40.704,40.704,40.704,40.704,40.704,40.704,40.704,40.704,40.704,40.704,40.704,40.704,40.704,40.704,40.704,40.704,40.704,40.704,40.704,40.704,40.704,40.704,40.704,40.704,40.704,40.704,40.704,40.704,40.704,40.704,40.704,40.704,40.704,40.704,40.704,40.704,40.704,40.704,40.704,40.704,40.704,40.704,40.704,40.704,40.704,40.704,40.704,40.704,40.704,40.704,40.704,40.704,40.704,40.704,40.704,40.704,40.704
40.707,40.707,40.707,40.707,40.707,40.707,40.707,40.707,40.707,40.707,40.707,40.707,40.707,40.707,40.707,40.707,40.707,40.707,40.707,40.707,40.707,40.707,40.707,40.707,40.707,40.707,40.707,40.707,40.707,40.707,40.707,40.707,40.707,40.707,40.707,40.707,40.707,40.707,40.707,40.707,40.707,40.707,40.707,40.707,40.707,40.707,40.707,40.707,40.707,40.707,40.707,40.707,40.707,40.707,40.707,40.707,40.707,40.707,40.707,40.707,40.707,40.707,40.707,40.707,40.707,40.707
40.71,40.71,40.71,40.71,40.71,40.71,40.71,40.71,40.71,40.71,40.71,40.71,40.71,40.71,40.71,40.71,40.71,40.71,40.71,40.71,40.71,40.71,40.71,40.71,40.71,40.71,40.71,40.71,40.71,40.71,40.71,40.71,40.71,40.71,40.71,40.71,40.71,40.71,40.71,40.71,40.71,40.71,40.71,40.71,40.71,40.71,40.71,40.71,40.71,40.71,40.71,40.71,40.71,40.71,40.71,40.71,40.71,40.71,40.71,40.71,40.71,40.71,40.71,40.71,40.71,40.71
40.713,40.713,40.713,40.713,40.713,40.713,40.713,40.713,40.713,40.713,40.713,40.713,40.713,40.713,40.713,40.713,40.713,40.713,40.713,40.713,40.713,40.713,40.713,40.713,40.713,40.713,40.713,40.713,40.713,40.713,40.713,40.713,40.713,40.713,40.713,40.713,40.713,40.713,40.713,40.713,40.713,40.713,40.713,40.713,40.713,40.713,40.713,40.713,40.713,40.713,40.713,40.713,40.713,40.713,40.713,40.713,40.713,40.713,40.713,40.713,40.713,40.713,40.713,40.713,40.713,40.713
40.716,40.716,40.716,40.716,40.716,40.716,40.716,40.716,40.716,40.716,40.716,40.716,40.716,40.716,40.716,40.716,40.716,40.716,40.716,40.716,40.716,40.716,40.716,40.716,40.716,40.716,40.716,40.716,40.716,40.716,40.716,40.716,40.716,40.716,40.716,40.716,40.716,40.716,40.716,40.716,40.716,40.716,40.716,40.716,40.716,40.716,40.716,40.716,40.716,40.716,40.716,40.716,40.716,40.716,40.716,40.716,40.716,40.716,40.716,40.716,40.716,40.716,40.716,40.716,40.716,40.716
40.719,40.719,40.719,40.719,40.719,40.719,40.719,40.719,40.719,40.719,40.719,40.719,40.719,40.719,40.719,40.719,40.719,40.719,40.719,40.719,40.719,40.719,40.719,40.719,40.719,40.719,40.719,40.719,40.719,40.719,40.719,40.719,40.719,40.719,40.719,40.719,40.719,40.719,40.719,40.719,40.719,40.719,40.719,40.719,40.719,40.719,40.719,40.719,40.719,40.719,40.719,40.719,40.719,40.719,40.719,40.719,40.719,40.719,40.719,40.719,40.719,40.719,40.719,40.719,40.719,40.719
40.722,40.722,40.722,40.722,40.722,40.722,40.722,40.722,40.722,40.722,40.722,40.722,40.722,40.722,40.722,40.722,40.722,40.722,40.722,40.722,40.722,40.722,40.722,40.722,40.722,40.722,40.722,40.722,40.722,40.722,40.722,40.722,40.722,40.722,40.722,40.722,40.722,40.722,40.722,40.722,40.722,40.722,40.722,40.722,40.722,40.722,40.722,40.722,40.722,40.722,40.722,40.722,40.722,40.722,40.722,40.722,40.722,40.722,40.722,40.722,40.722,40.722,40.722,40.722,40.722,40.722
40.725,40.725,40.725,40.725,40.725,40.725,40.725,40.725,40.725,40.725,40.725,40.725,40.725,40.725,40.725,40.725,40.725,40.725,40.725,40.725,40.725,40.725,40.725,40.725,40.725,40.725,40.725,40.725,40.725,40.725,40.725,40.725,40.725,40.725,40.725,40.725,40.725,40.725,40.725,40.725,40.725,40.725,40.725,40.725,40.725,40.725,40.725,40.725,40.725,40.725,40.725,40.725,40.725,40.725,40.725,40.725,40.725,40.725,40.725,40.725,40.725,40.725,40.725,40.725,40.725,40.725
40.728,40.728,40.728,40.728,40.728,40.728,40.728,40.728,40.728,40.728,40.728,40.728,40.728,40.728,40.728,40.728,40.728,40.728,40.728,40.728,40.728,40.728,40.728,40.728,40.728,40.728,40.728,40.728,40.728,40.728,40.728,40.728,40.728,40.728,40.728,40.728,40.728,40.728,40.728,40.728,40.728,40.728,40.728,40.728,40.728,40.728,40.728,40.728,40.728,40.728,40.728,40.728,40.728,40.728,40.728,40.728,40.728,40.728,40.728,40.728,40.728,40.728,40.728,40.728,40.728,40.728
